,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_Tank_Capacity,Fuel_Type,Body_Type,City_Mileage,ARAI_Certified_Mileage,Front_Brakes,Rear_Brakes,Power,Seating_Capacity,Seats_Material,Wheelbase,Wheels_Size,Airbags,Number_of_Airbags
0,Renault,Kwid,Rxe 0.8,"Rs. 3,53,290",799 cc,3,In-line,BS 6,"Front, Transverse",28 litres,Petrol,Hatchback,25.17 km/litre,25.17 km/litre,Ventilated Disc,Drum,54PS@5678rpm,5,Fabric,2422 mm,165/70 R14,Driver frontal airbag,1
1,Renault,Kwid,Rxl 0.8,"Rs. 3,83,290",799 cc,3,In-line,BS 6,"Front, Transverse",28 litres,Petrol,Hatchback,25.17 km/litre,25.17 km/litre,Ventilated Disc,Drum,54PS@5678rpm,5,Fabric,2422 mm,165/70 R14,Driver frontal airbag,1
2,Renault,Kwid,Rxt 0.8,"Rs. 4,13,290",799 cc,3,In-line,BS 6,"Front, Transverse",28 litres,Petrol,Hatchback,25.17 km/litre,25.17 km/litre,Ventilated Disc,Drum,54PS@5678rpm,5,Fabric,2422 mm,165/70 R14,Driver frontal airbag,1
3,Renault,Kwid,Rxt 1.0,"Rs. 4,33,290",999 cc,3,In-line,BS 6,"Front, Transverse",28 litres,Petrol,Hatchback,25.17 km/litre,23.01 km/litre,Ventilated Disc,Drum,68PS@5500rpm,5,Fabric,2422 mm,165/70 R14,Driver frontal airbag,1
4,Renault,Kwid,Climber 1.0 Mt,"Rs. 4,54,490",999 cc,3,In-line,BS 6,"Front, Transverse",28 litres,Petrol,Hatchback,25.17 km/litre,23.01 km/litre,Ventilated Disc,Drum,68PS@5500rpm,5,Fabric,2422 mm,165/70 R14,Driver frontal airbag,1
5,Renault,Kwid,Rxt Amt 1.0,"Rs. 4,63,290",999 cc,3,In-line,BS 6,"Front, Transverse",28 litres,Petrol,Hatchback,25.17 km/litre,24.04 km/litre,Ventilated Disc,Drum,68PS@5500rpm,5,Fabric,2422 mm,165/70 R14,Driver frontal airbag,1
6,Renault,Kwid,Climber Amt 1.0,"Rs. 4,84,490",999 cc,3,In-line,BS 6,"Front, Transverse",28 litres,Petrol,Hatchback,25.17 km/litre,24.04 km/litre,Ventilated Disc,Drum,68PS@5500rpm,5,Fabric,2422 mm,165/70 R14,Driver frontal airbag,1
7,Renault,Kwid,Rxt (O) 1.0,"Rs. 4,40,990",999 cc,3,In-line,BS 6,"Front, Transverse",28 litres,Petrol,Hatchback,25.17 km/litre,23.01 km/litre,Ventilated Disc,Drum,68PS@5500rpm,5,Fabric,2422 mm,165/70 R14,"Driver frontal airbag, Front passenger frontal airbag",2
8,Renault,Kwid,Rxt (O) Amt 1.0,"Rs. 4,70,990",999 cc,3,In-line,BS 6,"Front, Transverse",28 litres,Petrol,Hatchback,25.17 km/litre,23.01 km/litre,Ventilated Disc,Drum,68PS@5500rpm,5,Fabric,2422 mm,165/70 R14,"Driver frontal airbag, Front passenger frontal airbag",2
9,Renault,Kwid,Climber (O) Mt 1.0,"Rs. 4,62,190",999 cc,3,In-line,BS 6,"Front, Transverse",28 litres,Petrol,Hatchback,25.17 km/litre,23.01 km/litre,Ventilated Disc,Drum,68PS@5500rpm,5,Fabric,2422 mm,165/70 R14,"Driver frontal airbag, Front passenger frontal airbag",2
10,Renault,Kwid,Climber (O) Amt 1.0,"Rs. 4,92,190",999 cc,3,In-line,BS 6,"Front, Transverse",28 litres,Petrol,Hatchback,25.17 km/litre,24.04 km/litre,Ventilated Disc,Drum,68PS@5500rpm,5,Fabric,2422 mm,165/70 R14,"Driver frontal airbag, Front passenger frontal airbag",2
11,Maruti Suzuki,Alto K10,Lxi,"Rs. 3,77,588",998 cc,3,In-line,BS IV,"Front, Transverse",35 litres,Petrol,Hatchback,14 km/litre,24.07 km/litre,Ventilated Disc,Drum,68PS@6000rpm,5,Fabric,2360 mm,155/65R13,Driver frontal airbag,1
12,Maruti Suzuki,Alto K10,Vxi,"Rs. 3,94,036",998 cc,3,In-line,BS IV,"Front, Transverse",35 litres,Petrol,Hatchback,14 km/litre,24.07 km/litre,Ventilated Disc,Drum,68PS@6200rpm,5,Fabric,2360 mm,155/65R13,Driver frontal airbag,1
